#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2002-01-05, 21:01:54
# Real time (s): 1213075.660
# Live time (s): 1209818.120
#
# Total counts:  221428538
#
# Left marker:  20 (7.086 keV)
# Right marker: 50 (17.695 keV)
# Counts:       4574772
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: 0.012663
#     A1: 0.353645
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
653	230.943	105290	0.0870296
654	231.297	104809	0.086632
655	231.650	104619	0.086475
656	232.004	104272	0.0861882
657	232.357	104289	0.0862022
658	232.711	103986	0.0859518
659	233.065	104007	0.0859691
660	233.418	103563	0.0856021
661	233.772	103664	0.0856856
662	234.126	102930	0.0850789
663	234.479	103244	0.0853384
664	234.833	102915	0.0850665
665	235.187	103021	0.0851541
666	235.540	102497	0.084721
667	235.894	102260	0.0845251
668	236.248	101887	0.0842168
669	236.601	102252	0.0845185
670	236.955	100760	0.0832852
671	237.308	101299	0.0837308
672	237.662	100972	0.0834605
673	238.016	101303	0.0837341
674	238.369	101589	0.0839705
675	238.723	102840	0.0850045
676	239.077	102068	0.0843664
677	239.430	100288	0.0828951
678	239.784	100068	0.0827133
679	240.138	99383	0.0821471
680	240.491	99243	0.0820313
681	240.845	99008	0.0818371
682	241.199	99026	0.081852
683	241.552	98966	0.0818024
684	241.906	97866	0.0808932
685	242.260	98297	0.0812494
686	242.613	97914	0.0809328
687	242.967	97398	0.0805063
688	243.320	96600	0.0798467
689	243.674	97369	0.0804823
690	244.028	96707	0.0799352
691	244.381	96290	0.0795905
692	244.735	96494	0.0797591
693	245.089	95838	0.0792169
694	245.442	95523	0.0789565
695	245.796	95759	0.0791516
696	246.150	95021	0.0785416
697	246.503	95549	0.078978
698	246.857	94896	0.0784382
699	247.211	93791	0.0775249
700	247.564	94334	0.0779737
701	247.918	93731	0.0774753
702	248.271	93137	0.0769843
703	248.625	93103	0.0769562
704	248.979	93065	0.0769248
705	249.332	92356	0.0763387
706	249.686	92465	0.0764288
707	250.040	92132	0.0761536
708	250.393	91881	0.0759461
709	250.747	91594	0.0757089
710	251.101	90974	0.0751964
711	251.454	91219	0.0753989
712	251.808	90160	0.0745236
713	252.162	90182	0.0745418
714	252.515	90113	0.0744847
715	252.869	90024	0.0744112
716	253.223	89447	0.0739343
717	253.576	89432	0.0739219
718	253.930	89466	0.07395
719	254.283	88699	0.073316
720	254.637	88586	0.0732226
721	254.991	88290	0.0729779
722	255.344	88221	0.0729209
723	255.698	88128	0.072844
724	256.052	87673	0.0724679
725	256.405	87608	0.0724142
726	256.759	86928	0.0718521
727	257.113	86612	0.0715909
728	257.466	86972	0.0718885
729	257.820	86212	0.0712603
730	258.174	85792	0.0709131
731	258.527	85745	0.0708743
732	258.881	85686	0.0708255
733	259.234	85199	0.070423
734	259.588	85391	0.0705817
735	259.942	84978	0.0702403
736	260.295	85404	0.0705924
737	260.649	84447	0.0698014
738	261.003	84670	0.0699857
739	261.356	83673	0.0691616
740	261.710	83569	0.0690757
741	262.064	83563	0.0690707
742	262.417	83077	0.068669
743	262.771	83210	0.0687789
744	263.125	82436	0.0681392
745	263.478	82767	0.0684128
746	263.832	82125	0.0678821
747	264.185	81714	0.0675424
748	264.539	82532	0.0682185
749	264.893	81684	0.0675176
750	265.246	81242	0.0671522
751	265.600	81513	0.0673762
752	265.954	81202	0.0671192
753	266.307	80367	0.066429
754	266.661	80193	0.0662852
755	267.015	80237	0.0663215
756	267.368	79812	0.0659702
757	267.722	79605	0.0657991
758	268.076	79210	0.0654727
759	268.429	79591	0.0657876
760	268.783	78536	0.0649155
761	269.137	78963	0.0652685
762	269.490	78213	0.0646486
